label_id	type
605	dormant
1093	epithelial
1139	neuron
1471	secretory
1901	secretory
1962	dormant
2437	epithelial
2487	muscle
3106	neuron
3574	neuron
3761	dormant
3996	dormant
4273	dormant
4517	muscle
4580	excretory
5003	excretory
5281	dormant
5416	dormant
5959	dormant
7139	dormant
7580	epithelial
7928	excretory
8125	dormant
8191	epithelial
8327	dormant
8405	neuron
8505	dormant
8848	secretory
9032	dormant
9243	dormant
9734	neuron
10146	epithelial
10261	muscle
10526	muscle
10559	excretory
10963	excretory
11065	excretory
11102	excretory
11161	muscle
11408	secretory
11648	excretory
12303	excretory
13458	epithelial
13690	muscle
13990	neuron
14717	muscle
15307	epithelial
15985	muscle
16560	neuron
16600	secretory
16838	neuron
17354	dormant
17641	gut
17796	secretory
18022	gut
18729	neuron
18807	gut
18815	neuron
18926	secretory
18991	muscle
19024	neuron
19143	gut
19347	excretory
19605	epithelial
19660	secretory
20273	secretory
20277	epithelial
20295	gut
20845	gut
21084	muscle
21760	secretory
21866	muscle
22419	gut
23089	muscle
23159	excretory
23500	epithelial
24181	gut
24465	gut
24488	gut
25059	epithelial
25128	neuron
25513	muscle
25631	muscle
25845	secretory
26226	epithelial
26429	neuron
26465	muscle
26979	excretory
27089	dormant
27173	excretory
27185	secretory
27196	secretory
27276	neuron
27321	gut
27400	secretory
27484	neuron
27641	excretory
27856	secretory
27873	gut
27925	gut
27964	epithelial
28125	secretory
28410	muscle
28651	gut
29299	excretory
29735	gut
31006	gut
31358	epithelial
31471	epithelial
31787	excretory
31826	neuron
32137	epithelial
